dataset,model,predicted_class_idx,predicted_class,mondrian_threshold,is_fallback,n_calib,cliff_fraction,signal_threshold,signal_cliff,signal_support,calib_health
cic_ids2017_v2,rf_5class_cw,3,R2L,0.4708609292325353,False,43,0.0,green,green,amber,amber
cic_ids2017_v2,rf_5class_cw,4,U2R,0.006403103777999242,True,0,,amber,red,red,red
cic_ids2017_v2,xgb_5class_cw,0,Normal,0.0006804466247558594,False,6427,0.0,red,green,green,red
cic_ids2017_v2,xgb_5class_cw,1,DoS,0.009773492813110352,False,1074,0.0,amber,green,green,amber
cic_ids2017_v2,xgb_5class_cw,2,Probe,0.02907489612698555,False,454,0.006607929515418502,amber,green,green,amber
cic_ids2017_v2,xgb_5class_cw,3,R2L,0.02895846590399742,False,45,0.0,amber,green,amber,amber
cic_ids2017_v2,xgb_5class_cw,4,U2R,0.00156480073928833,True,0,,amber,red,red,red
cic_ids2017_v2,dnn_5class_cw,0,Normal,0.4771433174610138,False,6627,0.0051305266334691416,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,1,DoS,0.49221915006637573,False,839,0.0,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,2,Probe,0.8286464214324951,False,522,0.0019157088122605363,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,3,R2L,0.5230257511138916,True,12,0.0,green,green,red,red
cic_ids2017_v2,dnn_5class_cw,4,U2R,0.5230257511138916,True,0,,green,red,red,red
cic_ids2017_v2,rf_5class_smote,0,Normal,0.0009135153850574618,False,6425,0.0004669260700389105,red,green,green,red
cic_ids2017_v2,rf_5class_smote,1,DoS,0.02337204130973774,False,1076,0.0,amber,green,green,amber
cic_ids2017_v2,rf_5class_smote,2,Probe,0.004255890575112997,False,454,0.00881057268722467,amber,green,green,amber
cic_ids2017_v2,rf_5class_smote,3,R2L,0.9209928037459517,False,45,0.0,green,green,amber,amber
cic_ids2017_v2,rf_5class_smote,4,U2R,0.004071871096882118,True,0,,amber,red,red,red
cic_ids2017_v2,xgb_5class_smote,0,Normal,0.0004558563232421875,False,6421,0.0,red,green,green,red
cic_ids2017_v2,xgb_5class_smote,1,DoS,0.014304757118225098,False,1079,0.0,amber,green,green,amber
cic_ids2017_v2,xgb_5class_smote,2,Probe,0.05542445182800293,False,454,0.006607929515418502,green,green,green,green
cic_ids2017_v2,xgb_5class_smote,3,R2L,0.23879463970661163,False,46,0.021739130434782608,green,green,amber,amber
cic_ids2017_v2,xgb_5class_smote,4,U2R,0.0013252496719360352,True,0,,amber,red,red,red
cic_ids2017_v2,dnn_5class_smote,0,Normal,0.013442754745483398,False,6412,0.0009357454772301934,amber,green,green,amber
cic_ids2017_v2,dnn_5class_smote,1,DoS,0.48006415367126465,False,1091,0.0009165902841429881,green,green,green,green
cic_ids2017_v2,dnn_5class_smote,2,Probe,0.7811199426651001,False,452,0.0022123893805309734,green,green,green,green
cic_ids2017_v2,dnn_5class_smote,3,R2L,0.8608280420303345,False,45,0.0,green,green,amber,amber
cic_ids2017_v2,dnn_5class_smote,4,U2R,0.1871861219406128,True,0,,green,red,red,red
